date,transaction_count,transaction_volume,successful_count,lost_revenue,failure_count,failure_rate,success_rate
2026-01-01,284,590742.58,266,4901.29638,18,6.34,93.66
2026-01-02,272,465446.93000000005,255,4749.699750000001,17,6.25,93.75
2026-01-03,300,267769.05,282,595.24211,18,6.0,94.0
2026-01-04,266,280968.88,246,707.47414,20,7.52,92.48
2026-01-05,284,272593.2,272,138.48312,12,4.23,95.77
2026-01-06,254,296553.21,238,296.77005,16,6.3,93.7
2026-01-07,273,263035.79,261,397.01000000000005,12,4.4,95.6
2026-01-08,278,336093.63,267,521.38897,11,3.96,96.04
2026-01-09,271,459730.73,259,416.72391,12,4.43,95.57
2026-01-10,271,224486.04,251,579.8039600000001,20,7.38,92.62
2026-01-11,268,280152.31,247,632.65327,21,7.84,92.16
2026-01-12,283,329612.82,269,231.95447000000001,14,4.95,95.05
2026-01-13,275,294896.22,263,188.78536,12,4.36,95.64
2026-01-14,279,310280.81,256,1320.37348,23,8.24,91.76
2026-01-15,288,362209.5,268,586.6914600000001,20,6.94,93.06
2026-01-16,272,349829.1,257,255.87715000000003,15,5.51,94.49
2026-01-17,259,231551.05,244,190.70313000000002,15,5.79,94.21
2026-01-18,239,242478.73,226,262.68345000000005,13,5.44,94.56
2026-01-19,297,318727.91,282,200.99755,15,5.05,94.95
2026-01-20,296,336612.97000000003,276,418.52829,20,6.76,93.24
2026-01-21,281,248184.05,262,204.91371,19,6.76,93.24
2026-01-22,305,382705.55,288,603.44418,17,5.57,94.43
2026-01-23,278,256011.85,255,727.67351,23,8.27,91.73
2026-01-24,269,263818.58999999997,257,324.02541,12,4.46,95.54
2026-01-25,288,271667.43,271,587.34019,17,5.9,94.1
2026-01-26,270,309438.56,248,316.97464,22,8.15,91.85
2026-01-27,280,290828.11,265,223.77705,15,5.36,94.64
2026-01-28,273,223172.8,254,602.794,19,6.96,93.04
2026-01-29,272,969698.7100000001,257,155.24483,15,5.51,94.49
2026-01-30,274,456733.56,252,737.47,22,8.03,91.97
2026-01-31,292,612794.46,274,363.34274,18,6.16,93.84
2026-02-01,297,376898.27,275,501.75626,22,7.41,92.59
2026-02-02,281,235890.79,272,153.12435000000002,9,3.2,96.8
2026-02-03,272,483994.44,251,560.73965,21,7.72,92.28
2026-02-04,269,446499.05,256,666.59081,13,4.83,95.17
2026-02-05,272,335938.14,259,268.98573,13,4.78,95.22
2026-02-06,267,313264.97,253,443.59385999999995,14,5.24,94.76
2026-02-07,271,743033.18,253,478.09023,18,6.64,93.36
2026-02-08,304,322717.44,282,265.22849,22,7.24,92.76
2026-02-09,292,347907.24,278,564.27301,14,4.79,95.21
2026-02-10,279,324154.76,256,892.73977,23,8.24,91.76
2026-02-11,270,361436.31,250,946.7119600000001,20,7.41,92.59
2026-02-12,272,385924.24,252,1685.7746400000003,20,7.35,92.65
2026-02-13,289,508840.53,275,2517.24437,14,4.84,95.16
2026-02-14,284,347438.4,276,144.54847,8,2.82,97.18
2026-02-15,246,277583.32,226,422.26030000000003,20,8.13,91.87
2026-02-16,262,387608.52999999997,246,693.14756,16,6.11,93.89
2026-02-17,284,326515.98,262,356.98217,22,7.75,92.25
2026-02-18,257,246621.95,239,494.60631000000006,18,7.0,93.0
2026-02-19,318,416176.21,301,244.93458,17,5.35,94.65
2026-02-20,285,314396.65,266,258.51267,19,6.67,93.33
2026-02-21,280,496898.14999999997,258,298.31372,22,7.86,92.14
2026-02-22,290,332503.02,269,1298.91783,21,7.24,92.76
2026-02-23,273,298107.22,259,439.42830000000004,14,5.13,94.87
2026-02-24,288,619619.5,271,1046.83968,17,5.9,94.1
2026-02-25,261,200424.23,247,67.68629,14,5.36,94.64
2026-02-26,269,409557.57,254,739.2384200000001,15,5.58,94.42
2026-02-27,281,207955.54,262,440.70517000000007,19,6.76,93.24
2026-02-28,272,307105.53,255,378.14840000000004,17,6.25,93.75
2026-03-01,297,416171.28,283,1790.4646400000001,14,4.71,95.29
2026-03-02,282,333867.89,257,704.58632,25,8.87,91.13
2026-03-03,279,392274.49,267,211.81542000000002,12,4.3,95.7
2026-03-04,272,268203.16,255,217.84481000000002,17,6.25,93.75
2026-03-05,272,452788.39999999997,263,90.75376,9,3.31,96.69
2026-03-06,285,224083.95,264,115.87501,21,7.37,92.63
2026-03-07,260,277976.33,252,37.6449,8,3.08,96.92
2026-03-08,287,333195.29,275,522.3413300000001,12,4.18,95.82
2026-03-09,262,384304.61,247,4737.00007,15,5.73,94.27
2026-03-10,274,319793.0,256,239.02583,18,6.57,93.43
2026-03-11,296,403250.51,275,1166.63752,21,7.09,92.91
2026-03-12,298,325042.04000000004,284,204.76813,14,4.7,95.3
2026-03-13,254,312167.19,239,527.02019,15,5.91,94.09
2026-03-14,297,301154.19,280,720.5122500000001,17,5.72,94.28
2026-03-15,272,273288.89,257,572.2398900000001,15,5.51,94.49
2026-03-16,291,295629.94,277,178.79573000000002,14,4.81,95.19
2026-03-17,252,246935.63999999998,230,1053.25999,22,8.73,91.27
2026-03-18,281,389871.3,271,104.38753,10,3.56,96.44
2026-03-19,267,216340.52,246,236.66349000000002,21,7.87,92.13
2026-03-20,274,399048.52,264,427.1207,10,3.65,96.35
2026-03-21,268,271756.07,250,1027.72462,18,6.72,93.28
2026-03-22,264,245842.49000000002,250,558.7084900000001,14,5.3,94.7
2026-03-23,260,367859.01,237,813.2707800000001,23,8.85,91.15
2026-03-24,136,174406.46,122,361.57026,14,10.29,89.71
